id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
jexl_left_1_1,commons-jexl3,PropertyAccessTest,testPropertyProperty_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_2,commons-jexl3,PropertyAccessTest,testPropertyProperty_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_3,commons-jexl3,PropertyAccessTest,testPropertyProperty_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_4,commons-jexl3,PropertyAccessTest,testPropertyProperty_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_5,commons-jexl3,PropertyAccessTest,testPropertyProperty_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_6,commons-jexl3,PropertyAccessTest,testPropertyProperty_6_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_7,commons-jexl3,PropertyAccessTest,testPropertyProperty_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_8,commons-jexl3,PropertyAccessTest,testPropertyProperty_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_9,commons-jexl3,PropertyAccessTest,testPropertyProperty_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_10,commons-jexl3,PropertyAccessTest,testPropertyProperty_10_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_11,commons-jexl3,PropertyAccessTest,testPropertyProperty_11_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_12,commons-jexl3,PropertyAccessTest,testPropertyProperty_12_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_13,commons-jexl3,PropertyAccessTest,testPropertyProperty_13_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_14,commons-jexl3,PropertyAccessTest,testPropertyProperty_14_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_15,commons-jexl3,PropertyAccessTest,testPropertyProperty_15_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_16,commons-jexl3,PropertyAccessTest,testPropertyProperty_16_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_17,commons-jexl3,PropertyAccessTest,testPropertyProperty_17_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_18,commons-jexl3,PropertyAccessTest,testPropertyProperty_18_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_19,commons-jexl3,PropertyAccessTest,testPropertyProperty_19_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_20,commons-jexl3,PropertyAccessTest,testPropertyProperty_20_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_21,commons-jexl3,PropertyAccessTest,testPropertyProperty_21_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_22,commons-jexl3,PropertyAccessTest,testPropertyProperty_22_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_23,commons-jexl3,PropertyAccessTest,testPropertyProperty_23_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_24,commons-jexl3,PropertyAccessTest,testPropertyProperty_24_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_1_25,commons-jexl3,PropertyAccessTest,testPropertyProperty_25_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression
jexl_left_2_1,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_2,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_3,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_4,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_5,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_6,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_6_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_7,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_8,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_9,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_left_2_10,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_10_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
