id,test_prefix,test_name,custom_assert_name,custom_assert_method,custom_assert_file
geom_1_2,"    @Test
    void testIndexPageExample_2_oe() {
        // construct a precision instance to handle floating-point comparisons
        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-6);

        // create a BSP tree representing the unit cube
        final RegionBSPTree3D tree = Parallelepiped.unitCube(precision).toTree();

        // create a sphere centered on the origin
        final Sphere sphere = Sphere.from(Vector3D.ZERO, 0.65, precision);

        // subtract a BSP tree approximation of the sphere containing 512 facets
        // from the cube, modifying the cube tree in place
        tree.difference(sphere.toTree(3));

        // compute some properties of the resulting region
        final double size = tree.getSize(); // 0.11509505362599505
        final Vector3D centroid = tree.getCentroid(); // (0, 0, 0)

        // convert to a triangle mesh
        final TriangleMesh mesh = tree.toTriangleMesh(precision);

        // save as an OBJ file
        IO3D.write(mesh, Paths.get(""target/cube-minus-sphere.obj""));

        // -----------
        // removed other assertion
        EuclideanTestUtils.assertCoordinatesEqual(Vector3D.ZERO, centroid, TEST_EPS);
    }
",DocumentationExamplesTest::testIndexPageExample_2_oe,assertCoordinatesEqual,"    public static void assertCoordinatesEqual(final Vector1D expected, final Vector1D actual, final double tolerance) {
        final String msg = ""Expected coordinates to equal "" + expected + "" but was "" + actual + "";"";
        Assertions.assertEquals(expected.getX(), actual.getX(), tolerance, msg);
    }
",commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/EuclideanTestUtils.java
geom_3_2,"    @Test
    void testToPolygon_noNormal_2_oe() {
        // arrange
        final SimpleFacetDefinition f = new SimpleFacetDefinition(FACET_PTS);

        // act
        final ConvexPolygon3D p = FacetDefinitions.toPolygon(f, TEST_PRECISION);

        // assert
        // removed other assertion

        EuclideanTestUtils.assertCoordinatesEqual(Vector3D.Unit.PLUS_Z, p.getPlane().getNormal(), TEST_EPS);
    }
",FacetDefinitionsTest::testToPolygon_noNormal_2_oe,assertCoordinatesEqual,"    public static void assertCoordinatesEqual(final Vector1D expected, final Vector1D actual, final double tolerance) {
        final String msg = ""Expected coordinates to equal "" + expected + "" but was "" + actual + "";"";
        Assertions.assertEquals(expected.getX(), actual.getX(), tolerance, msg);
    }
",commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/EuclideanTestUtils.java
geom_4_2,"    @Test
    void testToPolygon_withNormal_similarDirection_2_oe() {
        // arrange
        final Vector3D normal = Vector3D.of(0.1, 0.2, 0.3);
        final SimpleFacetDefinition f = new SimpleFacetDefinition(FACET_PTS, normal);

        // act
        final ConvexPolygon3D p = FacetDefinitions.toPolygon(f, TEST_PRECISION);

        // assert
        // removed other assertion

        EuclideanTestUtils.assertCoordinatesEqual(Vector3D.Unit.PLUS_Z, p.getPlane().getNormal(), TEST_EPS);
    }
",FacetDefinitionsTest::testToPolygon_withNormal_similarDirection_2_oe,assertCoordinatesEqual,"    public static void assertCoordinatesEqual(final Vector1D expected, final Vector1D actual, final double tolerance) {
        final String msg = ""Expected coordinates to equal "" + expected + "" but was "" + actual + "";"";
        Assertions.assertEquals(expected.getX(), actual.getX(), tolerance, msg);
    }
",commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/EuclideanTestUtils.java
geom_5_2,"    @Test
    void testToPolygon_withNormal_differentDirection_2_oe() {
        // arrange
        final Vector3D normal = Vector3D.of(0.1, 0.2, -0.3);
        final SimpleFacetDefinition f = new SimpleFacetDefinition(FACET_PTS, normal);

        // act
        final ConvexPolygon3D p = FacetDefinitions.toPolygon(f, TEST_PRECISION);

        // assert
        // removed other assertion

        EuclideanTestUtils.assertCoordinatesEqual(Vector3D.Unit.MINUS_Z, p.getPlane().getNormal(), TEST_EPS);
    }
",FacetDefinitionsTest::testToPolygon_withNormal_differentDirection_2_oe,assertCoordinatesEqual,"    public static void assertCoordinatesEqual(final Vector1D expected, final Vector1D actual, final double tolerance) {
        final String msg = ""Expected coordinates to equal "" + expected + "" but was "" + actual + "";"";
        Assertions.assertEquals(expected.getX(), actual.getX(), tolerance, msg);
    }
",commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/EuclideanTestUtils.java
geom_7_1,"    @Test
    void testToPolygon_invalidArgs_1_oe() {
        // arrange
        final SimpleFacetDefinition f = new SimpleFacetDefinition(Arrays.asList(
                Vector3D.ZERO, Vector3D.ZERO, Vector3D.ZERO));

        // act/assert
        GeometryTestUtils.assertThrowsWithMessage( () -> FacetDefinitions.toPolygon(null, TEST_PRECISION), NullPointerException.class, ""Facet cannot be null"");
    }
",FacetDefinitionsTest::testToPolygon_invalidArgs_1_oe,assertThrowsWithMessage,"        GeometryTestUtils.assertThrowsWithMessage(() -> {
            try (ObjWriter objWriter = new ObjWriter(writer)) {
                objWriter.writeFace(1, 2);
            }
        }
",commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/obj/ObjWriterTest.java
geom_7_2,"    @Test
    void testToPolygon_invalidArgs_2_oe() {
        // arrange
        final SimpleFacetDefinition f = new SimpleFacetDefinition(Arrays.asList(
                Vector3D.ZERO, Vector3D.ZERO, Vector3D.ZERO));

        // act/assert
        // removed other assertion

        GeometryTestUtils.assertThrowsWithMessage( () -> FacetDefinitions.toPolygon(f, null), NullPointerException.class, ""Precision context cannot be null"");
    }
",FacetDefinitionsTest::testToPolygon_invalidArgs_2_oe,assertThrowsWithMessage,"        GeometryTestUtils.assertThrowsWithMessage(() -> {
            try (ObjWriter objWriter = new ObjWriter(writer)) {
                objWriter.writeFace(1, 2);
            }
        }
",commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/obj/ObjWriterTest.java
geom_8_2,"    @Test
    void testStreamExample_2_oe() {
        final Path origFile = tempDir.resolve(""orig.obj"");
        final Path scaledFile = tempDir.resolve(""scaled.csv"");

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-10);
        final BoundarySource3D src = Parallelepiped.unitCube(precision);

        IO3D.write(src, origFile);

        final AffineTransformMatrix3D transform = AffineTransformMatrix3D.createScale(2);

        try (Stream<Triangle3D> stream = IO3D.triangles(origFile, precision)) {
            IO3D.write(stream.map(t -> t.transform(transform)), scaledFile);
        }

        final RegionBSPTree3D result = IO3D.read(scaledFile, precision).toTree();

        // assert
        // removed other assertion
        EuclideanTestUtils.assertCoordinatesEqual(Vector3D.ZERO, result.getCentroid(), TEST_EPS);
    }
",IO3DTest::testStreamExample_2_oe,assertCoordinatesEqual,"    public static void assertCoordinatesEqual(final Vector1D expected, final Vector1D actual, final double tolerance) {
        final String msg = ""Expected coordinates to equal "" + expected + "" but was "" + actual + "";"";
        Assertions.assertEquals(expected.getX(), actual.getX(), tolerance, msg);
    }
",commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/EuclideanTestUtils.java
geom_14_1,"    @Test
    void testFacetIterator_readFails_1_oe() {
        // arrange
        final StubFacetDefinitionReader reader = new StubFacetDefinitionReader(Arrays.asList(FACET_1, FACET_2));
        reader.fail = true;

        final FacetDefinitionReaderIterator it = new FacetDefinitionReaderIterator(reader);

        // act/assert
        GeometryTestUtils.assertThrowsWithMessage(it::next, IllegalStateException.class, ""Read failure"");
    }
",AbstractBoundaryReadHandler3DTest::testFacetIterator_readFails_1_oe,assertThrowsWithMessage,"        GeometryTestUtils.assertThrowsWithMessage(() -> {
            try (ObjWriter objWriter = new ObjWriter(writer)) {
                objWriter.writeFace(1, 2);
            }
        }
",commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/obj/ObjWriterTest.java
geom_17_1,"    @Test
    void testCtor_invalidArgs_1_oe() {
        // arrange
        final Vector3D normal = Vector3D.ZERO;
        final List<Vector3D> invalid = Arrays.asList(Vector3D.ZERO, Vector3D.Unit.PLUS_X);

        final String verticesNull = ""Facet vertex list cannot be null"";
        final String vertexCountMsg = ""Facet vertex list must contain at least 3 points; found 2"";

        // act/assert
        GeometryTestUtils.assertThrowsWithMessage( () -> new SimpleFacetDefinition(null), NullPointerException.class, verticesNull);
    }
",SimpleFacetDefinitionTest::testCtor_invalidArgs_1_oe,assertThrowsWithMessage,"        GeometryTestUtils.assertThrowsWithMessage(() -> {
            try (ObjWriter objWriter = new ObjWriter(writer)) {
                objWriter.writeFace(1, 2);
            }
        }
",commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/obj/ObjWriterTest.java
geom_17_2,"    @Test
    void testCtor_invalidArgs_2_oe() {
        // arrange
        final Vector3D normal = Vector3D.ZERO;
        final List<Vector3D> invalid = Arrays.asList(Vector3D.ZERO, Vector3D.Unit.PLUS_X);

        final String verticesNull = ""Facet vertex list cannot be null"";
        final String vertexCountMsg = ""Facet vertex list must contain at least 3 points; found 2"";

        // act/assert
        // removed other assertion

        GeometryTestUtils.assertThrowsWithMessage( () -> new SimpleFacetDefinition(null, normal), NullPointerException.class, verticesNull);
    }
",SimpleFacetDefinitionTest::testCtor_invalidArgs_2_oe,assertThrowsWithMessage,"        GeometryTestUtils.assertThrowsWithMessage(() -> {
            try (ObjWriter objWriter = new ObjWriter(writer)) {
                objWriter.writeFace(1, 2);
            }
        }
",commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/obj/ObjWriterTest.java
