id,target,output,match_tc_mut_doc
joda_441_1,"assertEquals(7,test.toStandardSeconds().getSeconds());",exception,0
joda_2021_4,"assertEquals(0,test.getWeeks());","assertEquals(0, test.getWeeks());",0
joda_2959_1,"assertEquals(""halfdayOfDay"",islamic.halfdayOfDay().getName());","assertEquals(DateTimeFieldType.HALFDAY_OF_DAY, islamic.halfdayOfDay());",0
joda_1845_5,"assertEquals(40,test.getMillisOfSecond());","assertEquals(0, test.getMillisOfSecond());",0
joda_1251_6,"assertEquals(new MutableDateTime(2004,2,29,13,23,43,53),febTest);",assertNotNull(febTestInterval);,0
joda_2644_6,"assertEquals(1,test.getStandardSeconds());","assertEquals(1, test.getStandardSeconds());",0
joda_3491_1,"assertEquals(""2007-03-04 12:30 Asia/Tokyo"",f.print(dt));","assertEquals(""2007-03-04 12:30 Asia/Tokyo"", f.print(dt));",0
joda_151_1,"assertEquals(expected,result);","assertNotSame(test, result);",0
joda_3183_1,"assertEquals(""Converter[java.util.Date]"", a);","assertEquals(""2013-07-01 00:00:00.000000000 +0100:+0100"", DateConverter.INSTANCE.toString());",0
joda_1104_19,"assertEquals(""juillet"",test.monthOfYear().getAsText(Locale.FRENCH));","assertEquals(""2004-07-09_00:00:00"", test.toString());",0
joda_1909_16,"assertEquals(false,test1.equals(MockPartial.EMPTY_INSTANCE));","assertEquals(10, test1.getHour());",0
joda_2558_7,"assertEquals(1,test.getMinutes());","assertEquals(0, test.getMinutes());",0
joda_2641_4,"assertEquals(false,test1a.isShorterThan(test1a));",exception,0
joda_3114_3,"assertEquals(true,Modifier.isProtected(con.getModifiers()));","assertEquals(1, con.getParameterTypes().length);",0
joda_22_5,"assertEquals(test.getMillis(),result.getMillis());","assertEquals(1372706400000L, result.getMillis());",0
joda_2712_8,"assertEquals(false,test1.equals(test3));","assertEquals(false, test1.equals(test2));",0
joda_3596_2,"assertEquals(5,f.getPrinter().calculatePrintedLength(p,null));","assertEquals(""00:00:07"", f.getPrinter().getLocalizedString());",0
joda_408_4,"assertEquals(0,result.getWeeks());","assertEquals(0, test.getWeeks());",0
joda_1122_6,"assertEquals(""161"",test.dayOfYear().getAsString());","assertEquals(91, test.dayOfYear().get());",0
joda_1306_1,"assertEquals(true,test1.equals(test2));","assertEquals(0, test1.getMinute());",0
joda_3383_104,"assertEquals(""2 часа"",pf.print(Period.hours(2)));",assertNotNull(pf.print(period));,0
joda_2148_5,"assertEquals(a, Hours.hours(-1).isLessThan(null));","assertEquals(true, a);",0
joda_2875_7,"assertEquals(""minuteOfHour"",gj.minuteOfHour().getName());","assertEquals(""MinuteOfHour"", gj.minuteOfHour().getName());",0
joda_1202_9,"assertEquals(test.getChronology().weekyears(),test.weekyear().getDurationField());","assertEquals(""2004-06-09T00:00:00.000000000Z"", test.toString());",0
joda_3447_1,"assertEquals(false,bld.canBuildPrinter());","assertEquals(false, bld.canBuildPrinter());",0
joda_2583_9,"assertEquals(0,test.getMillis());","assertEquals(0, test.getMillis());",0
joda_1790_2,"assertEquals(10,test.getHourOfDay());","assertEquals(10, test.getHourOfDay());",0
joda_1104_4,"assertSame(test,test.monthOfYear().getDateTime());","assertEquals(""2004-06-09T00:00:00.000000000-+0100:+0100"", test.toString());",0
joda_2934_31,"assertEquals(dt12.getMillis(),fld.add(dt11.getMillis(),1L));","assertEquals(28800000L, dt11.getMillis());",0
joda_427_9,"assertEquals(14,test.getSeconds());","assertEquals(0, test.getSeconds());",0
joda_3018_8,"assertEquals(""secondOfDay"",julian.secondOfDay().getName());","assertEquals(""secondOfDay"", JulianChronology.secondOfDay().getName());",0
joda_1306_6,"assertEquals(true,test1.hashCode()== test1.hashCode());","assertSamePartial(test1, test2);",0
joda_3752_6,"assertEquals(2 * MILLIS_PER_HOUR + 7 * MILLIS_PER_MINUTE + 100 - OFFSET_0400,test.computeMillis(false));","assertEquals(1372734400000L, test.computeMillis());",0
joda_709_18,"assertEquals(ZoneInfoProvider.class,DateTimeZone.getProvider().getClass());",exception,0
joda_1021_1,"assertEquals(""2011-10-30T02:30:00.000+01:00"",test.toString());","assertEquals(2, test.getHourOfDay());",0
joda_382_2,"assertEquals(false,test1.dayOfMonth().hashCode()== test2.dayOfMonth().hashCode());","assertEquals(11, test1.dayOfMonth().get());",0
